iter	RMSE
0	1.677523993
1	1.674088683
2	1.667673531
3	1.664051143
4	1.657749797
5	1.652566881
6	1.647931454
7	1.643957994
8	1.639481951
9	1.635114491
10	1.631928049
11	1.62620862
12	1.622692395
13	1.618336439
14	1.614518363
15	1.610378401
16	1.606336261
17	1.604527769
18	1.600268821
19	1.597291383
20	1.591779588
21	1.58822546
22	1.585185555
23	1.580083614
24	1.575254526
25	1.571754235
26	1.568979757
27	1.566586167
28	1.56420906
29	1.56250428
30	1.557687996
31	1.554489413
32	1.551870403
33	1.548272254
34	1.543564351
35	1.53934654
36	1.535794233
37	1.532133017
38	1.529849051
39	1.527382005
40	1.524914094
41	1.521456002
42	1.517615451
43	1.516078475
44	1.513918524
45	1.511963518
46	1.509431844
47	1.507809147
48	1.5039526
49	1.500053262
50	1.498620882
51	1.496101154
52	1.493763555
53	1.490296959
54	1.487698418
55	1.484802336
56	1.481435374
57	1.478102336
58	1.474176804
59	1.472416298
60	1.470356175
61	1.467746725
62	1.465817927
63	1.462557335
64	1.459710133
65	1.457482296
66	1.452499432
67	1.450740927
68	1.447482658
69	1.445261869
70	1.444115652
71	1.44255013
72	1.441830589
73	1.440185912
74	1.437577024
75	1.434567702
76	1.430446764
77	1.428513824
78	1.4248212
79	1.421794289
80	1.421163537
81	1.419192255
82	1.416680507
83	1.413659855
84	1.410793127
85	1.408404466
86	1.406083826
87	1.404151126
88	1.401080616
89	1.399338951
90	1.397536504
91	1.395334283
92	1.393625206
93	1.392801497
94	1.389283825
95	1.387272873
96	1.384492529
97	1.382708196
98	1.379248561
99	1.376951588
100	1.374817088
101	1.372906432
102	1.37032849
103	1.367763028
104	1.365111709
105	1.362768436
106	1.361031386
107	1.357022062
108	1.35450223
109	1.352450787
110	1.351364579
111	1.347683656
112	1.345451194
113	1.343161657
114	1.341516369
115	1.339619867
116	1.337258377
117	1.335772631
118	1.33305905
119	1.332049619
120	1.328264608
121	1.3252572
122	1.323214647
123	1.319905234
124	1.318418104
125	1.3152953
126	1.312496883
127	1.309812641
128	1.307673718
129	1.305586349
130	1.303216404
131	1.301495031
132	1.299797379
133	1.29582759
134	1.293373788
135	1.291769043
136	1.289673419
137	1.287012747
138	1.284394491
139	1.282314829
140	1.279247145
141	1.277747785
142	1.276245992
143	1.274163711
144	1.271440993
145	1.270241089
146	1.26793732
147	1.26667581
148	1.264032827
149	1.261498661
150	1.259535591
151	1.257663324
152	1.255700859
153	1.253922678
154	1.251274878
155	1.248892129
156	1.246634549
157	1.245213432
158	1.243125763
159	1.240479509
160	1.238812426
161	1.235843701
162	1.234165436
163	1.231792369
164	1.228808806
165	1.224582656
166	1.222675598
167	1.220422154
168	1.218483472
169	1.217306843
170	1.215456396
171	1.214207758
172	1.211950183
173	1.210859719
174	1.208670316
175	1.20646207
176	1.205183609
177	1.202779682
178	1.200414161
179	1.198866362
180	1.196321655
181	1.193600865
182	1.192365741
183	1.19001399
184	1.188053508
185	1.186464824
186	1.182518512
187	1.18011064
188	1.177779198
189	1.175036014
190	1.172730187
191	1.171532414
192	1.16970078
193	1.168488852
194	1.166627816
195	1.163017838
196	1.160681579
197	1.159015626
198	1.156582512
199	1.155316996
200	1.152619976
201	1.150674548
202	1.149116334
203	1.147054767
204	1.146020139
205	1.142152558
206	1.139682568
207	1.137081317
208	1.13551241
209	1.134282258
210	1.131838925
211	1.130468721
212	1.128422037
213	1.127938309
214	1.125054793
215	1.123000974
216	1.121112104
217	1.118733078
218	1.116715876
219	1.115685178
220	1.113478831
221	1.110098549
222	1.108821379
223	1.107151604
224	1.104717365
225	1.103381199
226	1.101237033
227	1.098857394
228	1.096866208
229	1.094411407
230	1.093928605
231	1.091469008
232	1.089595449
233	1.088216613
234	1.086700508
235	1.085246106
236	1.08340988
237	1.080401418
238	1.077661325
239	1.076085521
240	1.074503731
241	1.073513622
242	1.071730374
243	1.070282239
244	1.068147927
245	1.066680361
246	1.064515061
247	1.062087564
248	1.059169464
249	1.057237488
250	1.054782703
251	1.05329451
252	1.051561928
253	1.05122575
254	1.049744574
255	1.047601215
256	1.04601504
257	1.043646028
258	1.04008509
259	1.035525156
260	1.034848293
261	1.033306373
262	1.03110374
263	1.029619217
264	1.027954209
265	1.024795351
266	1.022288904
267	1.020637921
268	1.018716722
269	1.016619186
270	1.014561793
271	1.011315089
272	1.009400366
273	1.007629493
274	1.005878111
275	1.005014893
276	1.00351871
277	1.002397654
278	0.9992562011
279	0.9989831811
280	0.9972712868
281	0.9954161188
282	0.9951323796
283	0.9924966468
284	0.9903476131
285	0.9893776244
286	0.9888910688
287	0.988630905
288	0.9868916091
289	0.9853721595
290	0.9838924227
291	0.9816784777
292	0.9791788431
293	0.9777220506
294	0.9767805435
295	0.975483118
296	0.9739548837
297	0.9724854885
298	0.9704797367
299	0.9692536581
300	0.9678883153
301	0.9666196084
302	0.9653316886
303	0.9631889052
304	0.9621805567
305	0.960089206
306	0.9578438787
307	0.9557954005
308	0.9533212891
309	0.9511082939
310	0.949702854
311	0.9478607029
312	0.9458663301
313	0.9441514901
314	0.9417542451
315	0.9406319329
316	0.9390217186
317	0.9372772624
318	0.9358466575
319	0.9345306024
320	0.9314131837
321	0.9301032626
322	0.9280350123
323	0.925760458
324	0.9243080132
325	0.9229318329
326	0.9211488112
327	0.9195608847
328	0.9179193651
329	0.9161927067
330	0.9141944089
331	0.9128428747
332	0.9099885509
333	0.9090975044
334	0.9072880288
335	0.905181838
336	0.9034604373
337	0.9016883248
338	0.8996810627
339	0.8994131196
340	0.897342836
341	0.8950944394
342	0.8934560249
343	0.892163963
344	0.8905568981
345	0.888864228
346	0.8858574521
347	0.8846323488
348	0.8830608478
349	0.8823565542
350	0.8808595291
351	0.8798305977
352	0.8783336995
353	0.8778204595
354	0.8772432715
355	0.8757773465
356	0.8739377865
357	0.8730798155
358	0.8720336288
359	0.8708658063
360	0.8682697828
361	0.8675462668
362	0.8673768332
363	0.8667521993
364	0.8647690698
365	0.8636517874
366	0.863248939
367	0.8629012546
368	0.8602253092
369	0.8599942057
370	0.8587310546
371	0.8570177976
372	0.8568406348
373	0.8553799987
374	0.8531588117
375	0.8528388651
376	0.8511759658
377	0.8510172532
378	0.849952338
379	0.8492564379
380	0.8480587136
381	0.8464369284
382	0.8461242193
383	0.8445248407
384	0.8435180026
385	0.8417769069
386	0.8398955946
387	0.8394468324
388	0.8374791636
389	0.8371506448
390	0.8356439372
391	0.8342912762
392	0.8326835093
393	0.8311539122
394	0.8307738286
395	0.8291354407
396	0.8275375239
397	0.8260956192
398	0.8244381767
399	0.823117025
400	0.8213162531
401	0.8202111881
402	0.8190018227
403	0.8166288175
404	0.8154373579
405	0.8139244911
406	0.8122377321
407	0.8107565333
408	0.8085318509
409	0.8079971554
410	0.8069184334
411	0.8056081906
412	0.8036801394
413	0.8019340256
414	0.8005241977
415	0.7990556235
416	0.798337137
417	0.7973454039
418	0.7971466064
419	0.795596757
420	0.7938074267
421	0.7929942447
422	0.791755491
423	0.7905754215
424	0.7901189655
425	0.7883156533
426	0.7866857743
427	0.785223478
428	0.7829545043
429	0.7812239047
430	0.7800800054
431	0.778788212
432	0.778552771
433	0.7772554342
434	0.7758622236
435	0.7741407504
436	0.7734283675
437	0.7718899299
438	0.7711998552
439	0.7694721697
440	0.7684814514
441	0.7682536723
442	0.7679392692
443	0.7659055822
444	0.7645796051
445	0.7633933271
446	0.7615652628
447	0.7599863364
448	0.7584418715
449	0.7568437741
450	0.756566407
451	0.7554000583
452	0.7552095707
453	0.7538201665
454	0.7536456564
455	0.7534676769
456	0.7532595229
457	0.7512490916
458	0.7503297186
459	0.7492084022
460	0.7489331193
461	0.7472717218
462	0.7452523768
463	0.7438847279
464	0.7422902922
465	0.7420418457
466	0.7398224291
467	0.7383587663
468	0.7377213401
469	0.7361541057
470	0.7345884644
471	0.7330580198
472	0.7319082993
473	0.7311404676
474	0.7296703285
475	0.7287293631
476	0.7270699869
477	0.7260609181
478	0.7258764543
479	0.7245917983
480	0.7226158595
481	0.7215702617
482	0.7202077201
483	0.7199816675
484	0.7185266024
485	0.716928016
486	0.7166699269
487	0.7155414325
488	0.7141630045
489	0.7128522477
490	0.7111897341
491	0.7088249055
492	0.7077231438
493	0.7063541964
494	0.7049127121
495	0.7043713716
496	0.7033491459
497	0.7023106967
498	0.700720195
499	0.6994480634
500	0.6968849344
501	0.6960074365
502	0.6953636312
503	0.6938768199
504	0.6918423957
505	0.690599614
506	0.6898089626
507	0.6884801113
508	0.6873776212
509	0.6858859722
510	0.6856359537
511	0.6844216282
512	0.6829865863
513	0.6822402438
514	0.6813524727
515	0.6806364864
516	0.6802871504
517	0.678053247
518	0.6767466421
519	0.6756116533
520	0.6750618033
521	0.6739724569
522	0.6728960899
523	0.6720185277
524	0.6707433089
525	0.6695830538
526	0.6682841376
527	0.667035167
528	0.666796859
529	0.666543036
530	0.6646718031
531	0.6636084292
532	0.6632438435
533	0.6622005964
534	0.6612082117
535	0.6600823037
536	0.6589771254
537	0.6575654006
538	0.6568578822
539	0.656294019
540	0.6558399761
541	0.6545646453
542	0.6534448772
543	0.6520704566
544	0.651418548
545	0.6510343187
546	0.6496594395
547	0.6494165332
548	0.6486365853
549	0.6468124999
550	0.6456546548
551	0.6455116694
552	0.6444140235
553	0.6438100361
554	0.6429070102
555	0.6418622264
556	0.6408645833
557	0.6400023878
558	0.6392840164
559	0.6374966077
560	0.6363318195
561	0.6361425686
562	0.6349701242
563	0.6342923366
564	0.6339924349
565	0.6336841068
566	0.6330394327
567	0.6319226942
568	0.6317552386
569	0.6302890219
570	0.6288076459
571	0.6272885516
572	0.6259967427
573	0.6251931085
574	0.6238482085
575	0.6237241113
576	0.6223861745
577	0.6211642173
578	0.6200979374
579	0.619263334
580	0.6190378152
581	0.6178797481
582	0.6175848875
583	0.616278277
584	0.6157869446
585	0.6153417672
586	0.6145382449
587	0.6136218815
588	0.6133625072
589	0.6126216382
590	0.6121946502
591	0.6110296751
592	0.6101611833
593	0.6091493664
594	0.6083265312
595	0.6080912559
596	0.6071293264
597	0.6066058049
598	0.6058556738
599	0.6056077202
600	0.604570478
601	0.6029269309
602	0.6017169103
603	0.6010895153
604	0.6000787971
605	0.5989967655
606	0.5982163716
607	0.5974338836
608	0.5958583872
609	0.5948408139
610	0.5939978662
611	0.5926739911
612	0.5915052672
613	0.5902299354
614	0.5892375139
615	0.5890568591
616	0.5878343894
617	0.5863473411
618	0.5851612006
619	0.5839955624
620	0.5827696372
621	0.5826370034
622	0.5824545761
623	0.5817427102
624	0.5809409597
625	0.5800401413
626	0.5791352854
627	0.5783760055
628	0.5774937224
629	0.5774200399
630	0.5763442509
631	0.5761938656
632	0.5751579685
633	0.5741121184
634	0.5730238586
635	0.5719736835
636	0.5708838401
637	0.5698455945
638	0.5680386265
639	0.5665070796
640	0.5657345324
641	0.5646265232
642	0.5645007433
643	0.5636187899
644	0.5625671377
645	0.5623841449
646	0.5622113813
647	0.5614658777
648	0.5602530803
649	0.5595082499
650	0.559292939
651	0.5583188471
652	0.5578181425
653	0.5571115163
654	0.5568452936
655	0.5556835317
656	0.5543763759
657	0.5538239401
658	0.5528252585
659	0.5519995012
660	0.5512985189
661	0.5506464396
662	0.5497852457
663	0.5489494693
664	0.5480160658
665	0.547191003
666	0.5470641342
667	0.5463000815
668	0.5456993907
669	0.5447574651
670	0.5441213448
671	0.5431498581
672	0.5424403162
673	0.5423563824
674	0.5416132468
675	0.541208726
676	0.5410266361
677	0.5401738041
678	0.5398402532
679	0.5397621746
680	0.5386811075
681	0.5375045143
682	0.5366673902
683	0.5356141331
684	0.5345679367
685	0.5335881796
686	0.5330916497
687	0.5316162055
688	0.530683596
689	0.5296402773
690	0.5289424447
691	0.5279430293
692	0.5278563519
693	0.5265803051
694	0.5264043879
695	0.5263396299
696	0.5255325136
697	0.5254806552
698	0.5245646232
699	0.5233395025
700	0.5232356886
701	0.5231724698
702	0.5229079783
703	0.5218871072
704	0.5208778486
705	0.5199921491
706	0.5197980588
707	0.519355019
708	0.5181775715
709	0.5170301614
710	0.516332524
711	0.5155320631
712	0.5147582941
713	0.5146662833
714	0.5138118117
715	0.5132594771
716	0.5130867925
717	0.5125262975
718	0.5113018455
719	0.5098404166
720	0.5090645308
721	0.5087620898
722	0.5081713082
723	0.5076499926
724	0.506577443
725	0.5061281741
726	0.5054516266
727	0.5052651717
728	0.5041179433
729	0.5031653504
730	0.5018879881
731	0.5012963154
732	0.5004135576
733	0.4997230835
734	0.4990208524
735	0.4983424206
736	0.4974656274
737	0.4965788505
738	0.4957828184
739	0.4952681583
740	0.4941601809
741	0.4935607461
742	0.4927417633
743	0.4920521731
744	0.4919976133
745	0.4918066748
746	0.4908674149
747	0.4901976818
748	0.4894245825
749	0.488426533
750	0.4877452899
751	0.4868404704
752	0.4856562537
753	0.4848555856
754	0.4842591099
755	0.4836017171
756	0.4830517555
757	0.4829653125
758	0.4827659386
759	0.48207887
760	0.4812724517
761	0.4811861219
762	0.4806467666
763	0.4797980792
764	0.4792998194
765	0.4784033836
766	0.4769568127
767	0.4759357524
768	0.4758995084
769	0.474736045
770	0.4735747221
771	0.4731452342
772	0.4722970179
773	0.4715214113
774	0.470888668
775	0.469714115
776	0.4686349286
777	0.4679768176
778	0.467311951
779	0.4665926842
780	0.4660962017
781	0.4650654959
782	0.4644593975
783	0.4629039031
784	0.4623244319
785	0.4617188658
786	0.4610292581
787	0.4605552877
788	0.4597757718
789	0.4582780423
790	0.4569235335
791	0.4568703284
792	0.4560314885
793	0.4551969932
794	0.4543666512
795	0.4536214078
796	0.452994468
797	0.452345734
798	0.4523015566
799	0.4516942227
800	0.4506242623
801	0.4492580281
802	0.4486086942
803	0.4479154098
804	0.4470222267
805	0.4469672869
806	0.4462344554
807	0.445371603
808	0.4443256937
809	0.44358253
810	0.4427671409
811	0.442597105
812	0.4425416985
813	0.4415614754
814	0.4407239925
815	0.4400642047
816	0.4392755889
817	0.4386453936
818	0.4384733174
819	0.4376425558
820	0.4365015729
821	0.4363618126
822	0.4363047169
823	0.4362706475
824	0.4359503997
825	0.4357424516
826	0.4351013018
827	0.4344936921
828	0.4343105211
829	0.4334979549
830	0.4330142274
831	0.4323433756
832	0.4320109554
833	0.4317548353
834	0.4311212738
835	0.430611472
836	0.4304663278
837	0.4299304179
838	0.4287734972
839	0.4275730719
840	0.4274079145
841	0.4271192948
842	0.4265466614
843	0.4264699974
844	0.425758947
845	0.425132086
846	0.4244569853
847	0.423896665
848	0.4228590941
849	0.422465001
850	0.4217930802
851	0.4217396031
852	0.4211125766
853	0.4203172341
854	0.4197116428
855	0.4191248286
856	0.4189978186
857	0.4181702311
858	0.4175455037
859	0.4169241251
860	0.4155882872
861	0.4147017626
862	0.4141251507
863	0.413699576
864	0.4129423922
865	0.4120284213
866	0.4112500577
867	0.4108605519
868	0.4105180529
869	0.4097604175
870	0.4093083173
871	0.4091135716
872	0.4090669893
873	0.4084608348
874	0.4078959029
875	0.4072350241
876	0.4066587988
877	0.4059848058
878	0.4055077711
879	0.4049300298
880	0.4047793689
