iter	Passed	Remaining
0	1	1369
1	1	974
2	2	815
3	2	736
4	3	684
5	3	661
6	4	634
7	5	621
8	5	603
9	5	592
10	6	578
11	6	565
12	7	558
13	7	550
14	8	541
15	9	596
16	10	627
17	11	623
18	11	615
19	12	607
20	12	601
21	13	602
22	14	601
23	14	601
24	15	598
25	15	595
26	16	594
27	17	590
28	17	586
29	17	580
30	18	577
31	18	573
32	19	571
33	20	570
34	20	569
35	21	564
36	21	562
37	22	560
38	22	557
39	23	554
40	23	551
41	24	548
42	24	545
43	24	542
44	25	540
45	25	538
46	26	538
47	27	537
48	27	535
49	28	532
50	28	530
51	29	532
52	29	531
53	30	530
54	30	529
55	31	526
56	31	523
57	32	522
58	32	525
59	33	523
60	33	521
61	34	518
62	34	517
63	35	515
64	35	514
65	36	513
66	36	511
67	37	507
68	37	505
69	37	503
70	38	500
71	38	497
72	38	492
73	39	490
74	39	488
75	40	487
76	40	486
77	41	485
78	41	484
79	41	482
80	42	483
81	43	484
82	43	483
83	44	482
84	44	482
85	45	481
86	45	480
87	46	479
88	46	479
89	47	477
90	47	477
91	48	475
92	48	474
93	48	472
94	49	470
95	49	469
96	50	469
97	50	468
98	51	468
99	51	467
100	52	467
101	53	468
102	53	468
103	54	467
104	54	466
105	55	467
106	55	465
107	56	464
108	56	464
109	57	463
110	57	462
111	58	461
112	58	461
113	59	461
114	59	459
115	60	458
116	60	457
117	61	456
118	61	454
119	61	453
120	62	452
121	62	451
122	63	449
123	63	448
124	63	447
125	64	446
126	64	445
127	65	443
128	65	442
129	65	440
130	66	439
131	66	438
132	67	436
133	67	435
134	67	434
135	68	432
136	68	431
137	68	430
138	69	428
139	69	427
140	69	425
141	70	424
142	70	423
143	70	422
144	71	420
145	71	419
146	72	418
147	72	416
148	72	415
149	73	414
150	73	413
151	73	412
152	74	410
153	74	409
154	75	408
155	75	407
156	75	406
157	76	405
158	76	404
159	76	403
160	77	402
161	77	401
162	77	400
163	78	399
164	78	398
165	79	397
166	79	395
167	79	395
168	80	394
169	80	393
170	80	392
171	81	391
172	81	390
173	82	389
174	82	388
175	82	387
176	83	386
177	83	385
178	83	384
179	84	383
180	84	382
181	84	381
182	85	380
183	85	379
184	85	378
185	86	377
186	86	376
187	87	375
188	87	375
189	87	374
190	88	373
191	88	372
192	88	371
193	89	370
194	89	369
195	89	368
196	90	368
197	90	367
198	91	366
199	91	365
200	91	364
201	92	364
202	92	363
203	92	362
204	93	361
205	93	360
206	93	359
207	94	358
208	94	357
209	94	357
210	95	356
211	95	355
212	96	354
213	96	353
214	96	353
215	97	352
216	97	351
217	97	350
218	98	350
219	98	349
220	98	348
221	99	347
222	99	347
223	99	346
224	100	345
225	100	344
226	101	343
227	101	343
228	101	342
229	102	341
230	102	340
231	102	339
232	103	339
233	103	339
234	103	338
235	104	337
236	104	336
237	104	335
238	105	335
239	105	334
240	106	333
241	106	333
242	106	332
243	107	331
244	107	331
245	107	330
246	108	329
247	108	329
248	108	328
249	109	327
250	109	327
251	109	326
252	110	325
253	110	325
254	111	324
255	111	323
256	111	323
257	112	322
258	112	321
259	112	321
260	113	320
261	113	319
262	113	319
263	114	318
264	114	317
265	114	317
266	115	316
267	115	315
268	116	315
269	116	314
270	116	314
271	117	313
